,strDrink,strCategory,strDrinkThumb,strIngredients,strInstructions
460,Shanghai Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,"Light rum, Anisette, Grenadine, Lemon ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
461,Shark Attack,Cocktail,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,"Lemonade, Water, Vodka   ",Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
462,Sherry Eggnog,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,"Sherry, Powdered sugar, Egg, Milk, Nutmeg  ","Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve."
463,Sherry Flip,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,"Sherry, Light cream, Powdered sugar, Egg, Nutmeg  ",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
464,Shot-gun,Shot,http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,"Jim Beam, Jack Daniels, Wild Turkey   ",Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.
465,Sidecar,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,"Cognac, Cointreau, Lemon juice   ",Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.
466,Sidecar Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,"Brandy, Triple sec, Lemon   ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
467,Singapore Sling,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,"Cherry brandy, Grenadine, Gin, Sweet and sour, Carbonated water, Cherry , ",Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.
468,Sloe Gin Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,"Sloe gin, Dry Vermouth, Orange bitters   ","Stir all ingredients with ice, strain into a cocktail glass, and serve."
469,Smut,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,"Red wine, Peach schnapps, Pepsi Cola, Orange juice ",Throw it all together and serve real cold.
470,Snake Bite (UK),Beer,http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,"Lager, Cider  ",Pour ingredients into a pint glass. Drink. Fall over.
471,Snakebite and Black,Beer,http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,"Lager, Cider, Blackcurrant squash   ",Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.
472,Snowball,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,"Advocaat, Lemonade, Lemon, Ice ",Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
473,Sol Y Sombra,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,"Brandy, Anisette  ","Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
474,Space Odyssey,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,"151 proof rum, Malibu rum, Pineapple juice, Orange juice, Grenadine, Cherries , ",Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.
475,Spanish chocolate,Cocoa,http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,"Milk, Chocolate, Cinnamon, Egg yolk ","Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug."
476,Spiced Peach Punch,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,"Peach nectar, Orange juice, Brown sugar, Cinnamon, Cloves, Lime juice , ","Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs."
477,Spiking coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,"Coffee, Cinnamon  ","Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug."
478,Spritz,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,"Prosecco, Campari, Soda Water   ","Build into glass over ice, garnish and serve."
479,Stinger,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,"Brandy, White Creme de Menthe  ","Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass."
480,Stone Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,"Apricot brandy, Orange juice, Sweet and sour   ","Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
481,Strawberry Daiquiri,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,"Strawberry schnapps, Light rum, Lime juice, Powdered sugar, Strawberries  ",Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
482,Strawberry Lemonade,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,"Lemon, Sugar, Strawberries, Water ",Throw everything into a blender and mix until fairly smooth. Serve over ice.
483,Strawberry Margarita,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,"Strawberry schnapps, Tequila, Triple sec, Lemon juice, Strawberries, Salt , ","Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve."
484,Strawberry Shivers,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,"Strawberries, Honey, Water   ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
485,Sunny Holiday Punch,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,"Pineapple juice, Club soda, Orange juice, Lemon, Berries, Champagne , ",Combine all ingredients in a punch bowl.
486,Surf City Lifesaver,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,"Ouzo, Bailey's irish cream, Gin, Grand Marnier ",Lots of ice and soda top up in tall glass with cherry and a grin.
487,Swedish Coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,"Coffee, Aquavit, Sugar   ",Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning)
488,Sweet Bananas,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,"Milk, Banana, Honey   ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
489,Sweet Sangria,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,"Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca, ","Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
490,Sweet Tooth,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,"Godiva liqueur, Milk  ","Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like."
491,Talos Coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,"Grand Marnier, Coffee  ",Add your GM and then add your coffee.
492,Tennesee Mud,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,"Coffee, Jack Daniels, Amaretto, Whipped cream ","Mix Coffee, Jack Daniels and Amaretto. Add Cream on top."
